,Cholesterol,Glucose,HbA1c,HDL Cholesterol,LDL Cholesterol,Triglycerides,Vitamin D,Eosinophil Count,High Light Scatter Retic. Count,Lymphocyte Count,Mean Corpuscular Hemoglobin,Mean Platelet Volume,Monocyte Count,Platelet Count,Red Blood Cell Dist. Width,Red Blood Cell Count,White Blood Count,Bone Mineral Density,Balding Type 1,BMI,Height,Waist-Hip Ratio,Diastolic blood pressure,Systolic Blood Pressure,Edu College,Smoking Status,Autoimmune disease,Allergy Eczema Diagnosed,Asthma Diagnosed,Cardiovascular disease,Dermatology,Diabetes Any Diagnosed,Endocrine Diabetes,High cholesterol,Hypertension Diagnosed,Psoriasis,Respiratory Ent,Type 2 diabetes,Thyroid Any Self Rep,FEV1\FVC Ratio,Forced Vital Capacity,Neuroticism,Chronotype (morning person),Hair Color,Tanning,Childless,Age of Menarche,#Children,Hypothyroidism Self Rep
Mean Corpuscular Hemoglobin,0.5623201345820988,0.16520109170720154,0.3717651637856594,0.5466024679731323,0.38680295476462656,0.5555588521462902,0.1932059396461523,0.39156387785484337,0.3373890996889407,0.6496258614153536,1.0,0.3410997085442391,0.5986952722848561,0.5834570565771399,0.35037906004019503,0.4049140323490641,0.4205547796245801,0.4682885662536711,0.27287979199985135,0.36232085277137616,0.6092320609164074,0.5488099622876835,0.351112832302776,0.45533858395997184,0.2438111680866819,0.3848311201383635,0.3467065508989504,0.576799113557298,0.5728783264296552,0.5200428436953235,0.46278760809921415,0.13433428459967134,0.21519113800660328,0.22061415612631996,0.5306635169751767,0.48299254207142606,0.3619947424613994,0.16208514628199178,0.2890132992250811,0.2642190736486135,0.35965268322933786,0.24432319918808254,0.2639505270740903,0.1919490682541044,0.47384867146495013,0.20517018556105038,0.35859304264966396,0.32882010301806663,0.13308951219092302
Mean Platelet Volume,0.4557078180726304,0.23008149306712122,0.1549215155310968,0.41153182750294737,0.5358866562587327,0.514160097928796,0.3652556038003152,0.234632000879883,0.7782361599257308,0.5426605058006237,0.3410997085442391,1.0,0.36410037369160153,0.4487377740746381,0.5522722656820669,0.5199983325129128,0.6494269090292758,0.4349028373886543,0.14627519908470576,0.2765650399136472,0.44408363686567,0.5869782781159758,0.3293437983003529,0.5111895548414036,0.3657562601664708,0.22173147687260653,0.39551115030434236,0.4237031889649423,0.46728119762751263,0.5254056518242981,0.5011695621166259,0.279791103594379,0.5202522839876096,0.38723581343871594,0.4295896810422237,0.5873059737210614,0.1911723850368604,0.2890872801594635,0.2377996374841086,0.3966640893863016,0.3423712356047862,0.08179616693042746,0.3828055560046717,0.25753038408566264,0.3576930214710303,0.19634341805535582,0.3739215797371356,0.37185137114671973,0.11799287141682324
Monocyte Count,0.6040589772307652,0.19847039849250114,0.3038308269327388,0.46585888032388945,0.42700802647250735,0.48965658528166944,0.29171531039344556,0.4780931354733102,0.299335335587926,0.6285560922551015,0.5986952722848561,0.36410037369160153,1.0,0.709946118718871,0.31932608187470146,0.37875433735400654,0.5860450618461234,0.38970166124349825,0.3938928607124613,0.3858431633355268,0.48396592556095386,0.44823176771740014,0.3763155324980282,0.5812491029429566,0.1867529243208288,0.3088254581936296,0.4283948703457169,0.8137118578124909,0.7423337478538039,0.6851807919983128,0.5819513804774552,0.17260473357343153,0.31070383190106554,0.23574106865478883,0.7004783727675775,0.4296062603566084,0.4361658341550939,0.2096868522178823,0.3583472406097853,0.2015727139797142,0.6438699583606416,0.22114286447894194,0.35723960621761974,0.29225784756073925,0.35184965516806543,0.20735542884730296,0.3253970894365388,0.4087372830634992,0.14713418115723598
Platelet Count,0.7279894748410123,0.2196056877484569,0.28617441130722865,0.5111388690395056,0.5068808328820469,0.5325121565817768,0.13945692970680723,0.40414747099849224,0.39631478081158855,0.7263861949695665,0.5834570565771399,0.4487377740746381,0.709946118718871,1.0,0.3634100004519607,0.5028949706814939,0.5362782741178025,0.41963736327120804,0.3839697528399857,0.2872715624349462,0.6384791354978174,0.5202561721890577,0.3545402168188374,0.37786863754643274,0.1771952586089922,0.2952357182595835,0.429465941469684,0.7718594979359652,0.8056440281985449,0.6190803261405323,0.4995857975203426,0.27751665027124595,0.27131385580579725,0.36738360884406784,0.5502651930179848,0.4011768287374511,0.5076088205029324,0.2423767923703093,0.39254950593852245,0.23600523025122,0.3721102233647464,0.25346430579729806,0.21042552717030993,0.13809307081718347,0.47608194810297655,0.27298616892133,0.5040994518300019,0.5154689569767844,0.09956490576035004
Red Blood Cell Dist. Width,0.48269076039518366,0.29975727972627175,0.34372327754447707,0.5751116465819094,0.6011808893287608,0.44864374227185677,0.13163744185077508,0.0929147056725046,0.5804480131901009,0.4426394118193999,0.35037906004019503,0.5522722656820669,0.31932608187470146,0.3634100004519607,1.0,0.6783844594936866,0.38703333953375196,0.35107166145047164,0.09792427187925079,0.30165890829616826,0.41853881240530866,0.5746441999025695,0.27596618147226215,0.41741942332184745,0.2788685096448148,0.30955355966055476,0.3671813448161805,0.34283394227218955,0.3786709648710167,0.3669082825913613,0.4434598811763727,0.3748891938483213,0.3273480834908131,0.45845294861427743,0.40622245596302875,0.30670098108747357,0.21411381988666256,0.44273824739392653,0.2705612578865453,0.31284479145430333,0.18009903347024914,0.19542697429636302,0.17251443444803227,0.11626451415781902,0.6320762079954699,0.18776188576158614,0.4029519533191446,0.3719991739124252,0.09730053672054284
Red Blood Cell Count,0.5676163470559836,0.3625060664771147,0.250901987850241,0.5920220461673579,0.6556065062479343,0.5749274249237606,0.22909165255337127,0.22095943437181464,0.6321124304748591,0.5646046799937894,0.4049140323490641,0.5199983325129128,0.37875433735400654,0.5028949706814939,0.6783844594936866,1.0,0.4550602392362746,0.4675873575653937,0.17933650748505525,0.36185648549218286,0.6008991586457877,0.6978515579861962,0.4756200228444424,0.49857725422624766,0.3488697725255764,0.3875797276584172,0.40859975463247133,0.4384963517125311,0.4308279790317957,0.5886042312452736,0.3628835020448449,0.3829941237725121,0.42291644704695575,0.5897254701787693,0.5322486519940716,0.3985270250836117,0.29784072784338633,0.45817004849818443,0.30595986393325003,0.38150459528011815,0.301736674352187,0.20848132240779305,0.21137692244882733,0.17816089302834037,0.5295072767443938,0.1920628394638484,0.5181682922688917,0.4363747609071198,0.08264771045629737
White Blood Count,0.5469442520634221,0.33426566026476245,0.1481815465241949,0.3053661665281683,0.6102472798073347,0.437285818298764,0.38456884468876895,0.3865795434867525,0.5772545295200097,0.6646268048427003,0.4205547796245801,0.6494269090292758,0.5860450618461234,0.5362782741178025,0.38703333953375196,0.4550602392362746,1.0,0.24598735233766977,0.38656443627550874,0.37485580940186936,0.45298800286514496,0.5938933827831467,0.3731871137333864,0.5916259427019339,0.3415738830656545,0.27730379050055154,0.38030038935139077,0.6765199158274846,0.6569408617812716,0.6476088165282216,0.5811113379452931,0.2478874405244731,0.5493642802167512,0.43722155678327335,0.6012597478876806,0.6093138322022883,0.24301115042979882,0.3028588918448666,0.2944522012448546,0.3407679547285589,0.48175778560668536,0.1993014630210317,0.524252626002029,0.3216656949558294,0.43902276853973754,0.12471722542683783,0.2958511307969385,0.3054485276908281,0.11512890567631584
Bone Mineral Density,0.386924147946218,0.0877767255769003,0.21705871105599073,0.46927880245764797,0.21568564066810003,0.42975148678690467,0.16614537827292164,0.1836726132635803,0.3659341744891904,0.339732241828379,0.4682885662536711,0.4349028373886543,0.38970166124349825,0.41963736327120804,0.35107166145047164,0.4675873575653937,0.24598735233766977,1.0,0.1222514473753995,0.2380617519531214,0.37156983225286333,0.31617188187913425,0.271967122628204,0.3726745769451588,0.1777957727144448,0.36633968089329083,0.4284294537625253,0.4280911658432631,0.41172243642647066,0.4011700740582085,0.44456981363794945,0.09133618220116813,0.12551357472816438,0.09231398279623626,0.33257288333700674,0.3159071386772748,0.41858207830266614,0.23456518924708125,0.15605444602726537,0.23612817752789916,0.27412471483444256,0.10175658628426199,0.2611024815201748,0.18904199832050395,0.226424299756117,0.4072000912985012,0.5093650688245319,0.47180452098103576,0.07903550957211736
Balding Type 1,0.37672533040839684,0.4568690113659859,0.37623480795355024,0.17383409372141956,0.3098724566548202,0.22008783562886503,0.4959298167746986,0.7869246261253604,0.12346387879576637,0.298152640253347,0.27287979199985135,0.14627519908470576,0.3938928607124613,0.3839697528399857,0.09792427187925079,0.17933650748505525,0.38656443627550874,0.1222514473753995,1.0,0.49131711500811215,0.20610434128812738,0.19039966694937704,0.3760187815062983,0.26495366076149574,0.4957692862223434,0.31573432606358054,0.4249587636315011,0.39672521102378666,0.41825236027839185,0.3431031058563254,0.3225388710171908,0.3502392982801946,0.13330291654718074,0.2175424872352113,0.3272468922939369,0.3804307714345101,0.3405944090936801,0.13165018264005557,0.6796312735384381,0.26464784193958635,0.559960569331713,0.38409330371725936,0.23212882677268554,0.5012612434089374,0.21611315554819788,0.15393266972779007,0.16226764647120673,0.3502791200775621,0.5846701626478914
BMI,0.39526195917912943,0.6165858971018948,0.26765204811032617,0.4035253649369799,0.4780323001782003,0.33820229843532745,0.46172747266665803,0.4407129333798897,0.36395007391443523,0.36406139277794036,0.36232085277137616,0.2765650399136472,0.3858431633355268,0.2872715624349462,0.30165890829616826,0.36185648549218286,0.37485580940186936,0.2380617519531214,0.49131711500811215,1.0,0.3229490137648583,0.37998410914096636,0.3442382784074963,0.43380398548127985,0.4858850821919187,0.4209927952004987,0.45947066168150563,0.39551284430719935,0.3172519822283517,0.5083854219457765,0.3655808631112101,0.38924638399868083,0.5071687832963622,0.2487221375421791,0.41007055322730257,0.47318403755056715,0.16225263132690848,0.2738189349947239,0.4173120445648393,0.4006222051168751,0.445140797501288,0.2574051329033158,0.5499129105571383,0.36850552065221387,0.3026068991867521,0.08986982977898716,0.1680400051313632,0.2887648722151288,0.2744282170624295
Height,0.6512245815973369,0.3035442287807668,0.2592406429926577,0.5100513065662816,0.6198540094185936,0.6957894682882071,0.1814026021848738,0.3729051720756398,0.537208465460193,0.7097615167821113,0.6092320609164074,0.44408363686567,0.48396592556095386,0.6384791354978174,0.41853881240530866,0.6008991586457877,0.45298800286514496,0.37156983225286333,0.20610434128812738,0.3229490137648583,1.0,0.7348162813997019,0.3791754171986097,0.4856186591251406,0.3522627005215402,0.40956135865703125,0.5209881913716096,0.5011610927627453,0.5911021953128928,0.5513001677489295,0.2898044840948544,0.3943663394790726,0.3832303215715416,0.46185599040083014,0.3913776820331121,0.45594553596273224,0.3984045345463523,0.34596844558792794,0.44846661684621114,0.5061635269136784,0.28294073459180025,0.19683518852783555,0.1433734198963429,0.15583987979535308,0.5960004779299856,0.2982659412522872,0.5722390637699852,0.478292737501089,0.171580806461045
