#expressedGenes,#expressedDiseaseGenes,lcc,lcczscore
4387,9,3,4.871779
4034,8,1,-0.314485
7192,12,2,1.243702
9489,17,3,2.529956
6142,14,3,1.993411
6779,9,2,2.586949
6157,11,1,-0.517522
1827,6,2,1.905159
5378,9,2,1.414214
4734,9,2,1.865992
7687,11,1,-0.484322
6843,13,3,3.173911
7659,11,2,1.535019
8098,13,3,4.737271
5783,9,2,2.067904
7280,14,3,3.077266
5129,8,2,2.483064
7449,10,2,1.462758
3417,7,1,-0.373632
5181,10,2,2.209605
2006,3,1,-0.175863
7187,15,3,2.134128
4520,7,1,-0.333333
6917,9,1,-0.356332
6865,12,3,3.229168
9771,16,3,3.49929
6707,11,3,2.510449
7390,15,3,2.853145
6571,12,3,3.072189
2210,5,1,-0.294884
3182,6,2,3.958114
6022,10,2,1.735004
3118,6,1,-0.314485
1382,3,1,-0.100504
3976,9,2,2.147318
7145,10,3,4.024922
2261,4,1,-0.229416
7300,12,3,3.448394
2831,6,2,2.223472
3051,7,1,-0.369274
7110,12,2,1.543644
7059,14,3,2.221408
8667,13,3,4.29696
5237,10,2,1.781955
6607,9,2,2.713602
7633,13,3,3.732031
7534,11,2,1.765159
8697,14,2,0.968496
4112,10,2,1.431789
6020,9,2,3.391165
5475,9,2,3.0
4620,5,2,3.958114
1941,3,1,-0.165521
3890,8,3,3.333847
7421,11,1,-0.554495
4999,9,2,1.383837
6868,6,2,4.358899
5368,8,2,3.007114
6535,9,2,1.647929
7032,15,3,2.126481
6578,11,2,1.204829
2599,3,1,-0.142857
2904,3,1,-0.142857
3910,4,1,-0.142857
8725,16,3,3.043414
7285,14,3,2.490125
8377,15,3,3.043414
7295,14,2,0.847172
5047,6,1,-0.165521
3298,7,2,1.814124
7412,11,3,5.125693
8685,15,3,2.654954
8353,15,3,2.770523
9283,16,3,3.188596
6963,13,2,1.611559
8174,11,1,-0.487467
2860,1,1,0.0
2913,8,2,2.213211
7558,9,3,4.559354
5727,7,2,2.483064
8169,12,3,3.200529
5703,12,3,3.732031
9082,16,3,2.94711
2613,4,1,-0.175863
8039,10,3,3.311924
1851,2,1,0.0
5816,9,1,-0.527645
5541,7,1,-0.281939
7184,12,2,0.961732
7395,13,4,4.980192
6881,9,3,4.242641
8593,15,3,3.552878
1892,3,1,-0.135388
2090,8,2,1.439699
5486,9,2,1.674827
6270,10,2,1.705606
8627,16,3,3.043414
4752,7,1,-0.403473
6643,11,2,1.035383
4881,10,3,4.445641
2586,7,1,-0.415581
8072,15,3,3.153846
6709,10,2,2.29517
1809,2,1,-0.100504
3082,5,2,4.898979
6054,8,2,2.708013
8022,13,3,3.131935
7300,10,2,1.950378
7024,15,3,2.509609
1854,5,2,3.391165
6583,8,2,3.179797
3723,5,1,-0.386556
6704,12,3,3.798773
9459,15,3,2.508061
3620,3,1,-0.100504
1578,2,1,-0.100504
6260,12,2,2.064742
9446,13,2,1.407711
4518,9,3,5.125693
4029,4,1,-0.252646
7073,14,3,2.770523
7772,11,2,2.209605
6126,8,1,-0.373632
3549,6,2,4.358899
5512,9,1,-0.403473
7137,8,3,5.7853
6811,11,3,3.841749
5770,10,2,3.179797
4164,6,1,-0.217072
7184,12,3,2.961954
6843,12,2,1.529493
6896,11,2,1.356801
5252,6,1,-0.204124
788,2,1,-0.175863
