#expressedGenes,#expressedDiseaseGenes,lcc,lcczscore
8166,13,3,2.826929
6959,10,2,2.586949
4944,8,2,3.644957
6968,14,3,1.781955
8841,13,3,3.668997
6887,12,2,1.652574
6251,11,2,1.450105
4579,10,1,-0.550743
4119,8,2,2.134375
6271,9,1,-0.373632
7819,13,3,3.912077
8432,15,3,3.353941
1909,2,1,0.0
6819,10,2,1.705606
2769,7,1,-0.295837
8822,17,3,2.512912
2761,4,1,-0.100504
4623,11,1,-0.646162
7036,12,1,-0.436928
8048,17,3,1.458246
8584,15,3,2.859405
8001,16,3,1.481487
6848,12,2,1.611559
5435,10,1,-0.594803
7036,12,2,1.543644
2709,7,2,2.29517
3013,5,1,-0.204124
7118,9,2,1.229008
4821,10,3,3.05329
6775,11,3,2.312899
5631,8,1,-0.403473
6766,12,2,1.431789
8815,12,2,1.37689
4079,9,3,3.113105
8239,17,3,2.624756
7850,14,2,1.311207
6354,10,3,3.732031
1511,1,1,0.0
6838,12,2,1.611559
6802,13,3,3.156821
5383,10,2,1.788854
2524,2,1,-0.100504
6419,9,2,1.942385
6038,8,1,-0.471405
5145,10,3,4.242641
4398,4,1,-0.175863
5093,10,1,-0.423547
6363,10,3,4.173205
7157,14,2,1.103629
1734,3,1,-0.142857
4428,7,2,2.591989
2402,8,3,4.024922
5845,13,2,1.135815
5293,10,2,1.662145
4002,7,1,-0.333333
7571,14,4,5.745203
4927,10,2,1.555032
5605,10,2,1.310556
4165,6,1,-0.229416
7550,12,2,1.417843
7963,12,3,2.560001
1487,3,1,-0.142857
1577,3,1,0.0
5674,12,3,3.198078
3536,5,1,-0.142857
5768,10,3,4.520269
6937,14,2,0.948683
6628,9,3,5.181036
5484,10,1,-0.383131
10068,17,3,2.352859
7353,15,2,1.009026
5719,9,2,2.591989
1632,3,1,-0.100504
5699,11,3,3.247296
7260,11,2,2.134375
6419,9,1,-0.403473
7719,13,3,4.737271
7276,14,3,3.775478
5697,7,2,3.958114
6856,9,2,1.547708
1828,1,1,0.0
6634,11,3,2.828632
2655,4,2,2.591989
7265,12,2,1.002318
5243,8,2,1.893204
4017,4,1,-0.19245
4062,8,1,-0.457144
7554,8,1,-0.19245
6653,15,3,2.589504
4833,10,1,-0.426401
4916,10,2,1.788854
7665,11,2,2.478479
5845,9,2,1.735004
5096,9,3,4.871779
7868,14,2,1.646464
4933,11,2,1.231554
6306,9,2,2.591989
10153,21,3,1.558234
4426,7,1,-0.349563
2128,5,1,-0.229416
7822,13,2,1.311207
4080,9,2,1.518587
6063,10,2,1.37689
8267,14,4,4.563833
2822,4,1,-0.229416
6620,11,2,1.347151
2295,2,1,0.0
6580,12,2,0.820553
3184,5,1,-0.229416
7008,9,3,4.779187
7954,18,3,1.941451
4922,9,1,-0.314485
5949,11,1,-0.431484
2909,6,1,-0.261488
5569,12,3,3.798773
7800,13,3,3.732031
8115,13,2,1.718809
6984,10,2,2.213211
4618,8,2,3.0
9276,17,4,4.865818
4405,7,1,-0.333333
7222,16,2,0.658218
6616,10,2,1.237179
6341,10,2,1.483651
5810,11,2,1.7997
7971,12,3,3.229168
5689,9,2,2.708013
6244,9,2,2.002981
4215,4,1,-0.204124
6504,10,3,3.698714
3185,3,1,-0.100504
7628,11,3,4.205949
6166,9,1,-0.377964
3470,7,2,3.0
5857,7,2,3.0
7444,14,3,2.97966
6704,9,1,-0.301511
1740,3,1,-0.100504
8902,15,3,3.41189
5222,11,2,1.695652
7851,12,2,1.356801
6116,10,2,1.39732
6230,9,2,2.844452
2331,6,2,2.591989
4061,7,1,-0.261488
7733,14,3,3.188596
3508,6,1,-0.332243
9332,18,3,2.650548
5524,10,1,-0.453604
6022,12,2,1.444444
5564,11,2,0.961524
3464,5,1,-0.294884
6411,13,2,1.36936
7774,11,2,1.566726
6694,13,3,3.112743
5864,13,3,3.712925
4605,7,2,2.713602
5679,10,1,-0.383131
6224,11,1,-0.554495
8131,11,2,1.356801
7295,11,1,-0.579474
5143,7,2,2.32379
5082,13,2,1.518587
8162,15,3,2.064742
2912,4,1,-0.204124
6498,8,1,-0.351562
2686,5,1,-0.252646
5588,10,2,1.652574
3848,7,2,2.291288
8219,13,3,3.198078
6952,14,2,0.985743
7022,12,1,-0.447214
7705,9,1,-0.3386
4712,7,2,3.0
4481,5,1,-0.204124
4112,10,3,3.635026
7226,14,3,3.149822
7056,10,3,4.024922
8424,12,3,4.066514
7407,10,1,-0.31246
2158,7,2,1.718809
4726,7,1,-0.332243
9349,16,3,3.153846
3683,6,2,2.024791
5302,10,2,1.398757
7281,10,2,1.942385
885,3,1,-0.229416
6362,9,2,2.067904
6537,13,3,4.242641
6721,8,3,6.67408
7539,13,3,2.914524
7390,16,4,4.429454
6695,12,1,-0.645819
6038,10,3,3.609722
6416,12,2,1.106606
3616,6,2,2.708013
1813,6,1,-0.261488
8422,12,2,1.257237
4164,9,2,1.7997
2922,3,1,-0.142857
5514,9,3,2.873524
6796,10,2,1.695652
7552,10,2,1.939563
7517,12,2,1.566726
2466,2,1,-0.100504
7036,12,2,1.269622
2474,6,1,-0.314485
5244,9,2,2.076881
2515,1,1,0.0
6555,12,2,1.327857
5493,11,2,1.572427
3498,8,2,2.29517
6791,12,1,-0.49535
4865,9,2,2.209605
8209,14,3,3.198078
3140,4,2,3.007114
7492,11,3,4.300232
7775,11,2,2.0
6177,11,2,1.581339
6105,11,2,1.611559
7749,12,2,1.832261
7340,8,1,-0.252646
4656,3,1,-0.175863
2080,3,2,4.924685
8191,14,3,3.054088
7708,14,3,2.691194
4379,11,2,1.382047
1746,3,1,-0.142857
5909,6,1,-0.229416
3713,9,2,1.7997
5964,11,2,1.555032
3173,6,1,-0.294884
5382,11,2,1.494119
7785,10,1,-0.3773
3833,8,2,1.662145
4379,5,1,-0.175863
3000,6,2,3.179797
1885,4,2,5.686241
4248,9,2,3.644957
6033,11,3,4.5
6407,13,3,3.544745
4176,7,1,-0.333333
7250,11,3,3.286456
5319,6,1,-0.175863
6584,13,3,3.016415
8868,18,4,3.862258
6778,11,3,3.668997
4036,5,1,-0.252646
6437,11,2,1.732051
7321,13,3,2.479649
6170,12,2,0.831784
7524,12,3,3.383578
6743,15,3,3.712925
5785,8,1,-0.34641
1624,1,1,0.0
1242,3,1,-0.100504
5066,6,1,-0.294884
6159,8,2,3.644957
7616,16,2,0.716253
8280,17,3,2.694687
6984,11,3,3.635026
4059,4,1,-0.175863
4638,10,2,1.264911
5020,10,3,3.518263
2054,2,1,-0.142857
7003,16,3,1.770827
7497,11,3,4.34039
6253,9,2,2.586949
1550,3,1,-0.175863
3039,8,3,5.089553
8043,15,3,2.650624
3901,7,2,3.391165
6380,11,3,3.742514
4259,10,2,1.142631
3629,7,1,-0.332243
3640,4,1,-0.229416
5112,10,3,4.559354
2827,4,1,-0.274352
7084,14,3,2.721794
6652,11,2,2.002981
6347,9,1,-0.301511
7152,11,2,1.7997
6394,10,2,2.591989
5915,10,2,1.444444
6455,14,3,2.921187
8124,10,1,-0.3386
6534,16,3,2.629386
8209,15,3,2.379253
5286,9,2,2.591989
5467,10,3,3.912077
7070,11,2,1.689306
7268,12,2,1.382047
5472,8,2,2.213211
7513,9,1,-0.356332
8644,13,2,1.605663
6393,10,2,2.591989
2627,3,1,-0.100504
4171,8,1,-0.439679
7042,11,2,1.620785
5911,11,3,4.110453
1914,4,1,-0.252646
9349,22,4,3.137015
8677,16,3,2.487033
3581,3,1,-0.100504
1103,4,1,-0.274352
5396,10,3,3.574756
8572,15,3,2.048174
4335,7,1,-0.366508
4628,11,2,1.620785
7386,14,3,3.229168
2374,4,1,-0.274352
8515,13,2,1.431789
6784,15,3,3.401088
7367,10,1,-0.423547
8400,14,3,3.552878
8151,14,3,3.153846
3991,5,1,-0.135388
926,1,1,0.0
4662,4,1,-0.175863
7102,11,2,1.652574
7474,15,3,3.65379
3101,6,1,-0.294884
7256,11,2,2.291288
2348,5,1,-0.274352
1059,0,0,0.0
7586,14,3,3.798773
5758,13,2,1.194101
7038,11,2,2.29517
6580,9,3,4.963973
6914,12,2,1.611559
8386,13,3,3.732031
6055,12,3,3.043414
4793,6,2,3.656552
5106,10,2,1.572427
3556,6,1,-0.345547
3076,4,1,-0.281939
3324,7,2,2.29517
6591,14,2,0.900885
6882,13,3,2.536063
7182,11,3,5.360431
6804,15,3,2.407987
8480,14,2,1.472947
8059,14,3,3.49929
5481,9,3,5.181036
2994,3,1,-0.100504
4840,9,1,-0.462798
5282,14,2,0.773442
7277,10,2,2.137744
8954,17,3,2.142857
7866,15,2,1.15288
5037,10,3,4.871779
1351,3,1,-0.142857
7735,13,2,1.078415
7318,13,3,2.840838
7895,8,2,3.644957
8519,12,3,3.65379
3498,5,1,-0.252646
2736,5,2,2.850718
8514,16,3,2.284259
7126,10,2,1.298813
6568,11,3,3.574756
5447,13,3,2.859405
4126,4,2,9.949874
6684,12,3,3.435823
3478,6,1,-0.252646
6653,13,4,3.833491
6706,11,3,4.151579
7111,16,3,2.468854
4684,10,2,1.788854
1710,5,2,3.0
6006,11,2,1.689306
8668,14,3,3.286456
4637,7,1,-0.333333
2859,6,1,-0.333333
6732,10,2,1.893204
6903,13,3,2.799023
5176,7,2,3.0
4164,6,1,-0.239957
5251,9,1,-0.420084
3770,6,3,6.333333
4008,7,2,1.555032
6968,13,3,3.362866
3711,5,2,3.656552
8553,14,2,1.323964
2785,4,1,-0.204124
3651,5,1,-0.274352
7170,13,3,2.981048
5258,8,2,3.0
2404,1,1,0.0
7955,12,3,3.49929
3457,6,1,-0.281939
7779,10,3,4.34039
6870,10,1,-0.350472
3517,6,1,-0.239957
2877,7,2,2.011435
8915,17,3,2.34906
6095,11,3,4.024922
3183,3,1,-0.100504
5237,9,3,4.151579
6854,14,3,2.914524
4627,6,1,-0.258199
6851,10,1,-0.471405
5281,9,2,1.507557
3697,6,2,2.850718
2282,8,2,1.814124
1067,1,1,0.0
3229,5,1,-0.261488
6822,11,3,3.247296
6815,9,1,-0.356332
7453,14,2,0.629393
5138,10,3,4.644198
4487,8,1,-0.415581
5159,8,2,1.905159
6363,8,1,-0.333333
5835,10,2,1.581339
3198,7,1,-0.294884
5650,13,2,1.004822
7738,10,3,5.7853
7500,11,3,3.316171
7974,11,2,1.734393
6701,11,2,1.347151
6249,13,3,2.664318
5687,7,2,2.137744
4790,8,2,2.147318
7484,11,3,4.34039
2357,2,1,-0.142857
7234,15,3,2.914524
7954,15,3,2.770523
7128,8,2,1.979831
6186,12,3,3.383578
6985,15,3,3.119082
4241,7,2,2.213211
4876,9,1,-0.423547
7758,12,1,-0.45257
6565,14,2,1.028992
8905,22,4,3.175966
4721,12,2,1.243702
5518,10,3,4.110453
2604,5,2,3.179797
7770,12,2,1.652574
1880,3,1,-0.175863
5851,11,3,4.644198
7215,15,4,3.900067
4214,12,2,1.0
6125,8,1,-0.369274
7080,10,2,2.586949
8549,12,2,1.386771
4812,9,2,2.586949
7661,11,3,3.869565
3909,7,1,-0.351562
8675,11,2,1.939563
8568,13,2,1.885618
6253,14,3,2.691194
2966,9,2,1.499191
4535,7,1,-0.356332
8643,15,3,3.112743
5768,10,2,1.741001
6866,12,2,1.206615
4782,5,1,-0.217072
6525,11,2,1.718809
7334,12,3,4.520269
2798,6,1,-0.314485
2036,5,1,-0.238919
4605,6,1,-0.229416
1492,2,1,-0.100504
1821,2,1,0.0
6842,12,3,3.841749
4935,11,2,1.611559
1542,3,1,-0.175863
7567,10,2,2.067904
2986,4,2,7.0
8758,19,4,3.83158
7475,14,3,4.120978
5537,9,1,-0.320358
1969,3,2,5.686241
6471,10,3,4.024922
1501,3,1,0.0
1460,2,1,-0.100504
4159,7,1,-0.260798
8246,14,3,4.066514
7868,11,3,3.548662
6639,11,3,3.463415
1436,4,1,-0.333333
1528,3,1,-0.175863
7005,11,3,3.944799
8805,17,2,0.714286
7556,14,3,3.65379
5036,12,3,3.091764
3691,6,1,-0.333333
7103,13,3,2.270759
3782,6,2,4.358899
3655,4,1,-0.175863
5209,14,2,1.299867
5633,10,2,1.197342
5127,7,1,-0.320358
2869,5,1,-0.274352
6666,11,2,1.356801
7499,10,2,2.002981
7394,12,3,3.574756
5897,7,2,2.850718
6724,11,3,4.81699
3219,4,1,-0.229416
2820,5,1,-0.229416
6791,14,2,0.933139
4321,8,2,2.067904
5940,11,2,1.417843
3421,7,2,2.708013
7078,12,3,3.41189
4729,11,2,1.018239
4040,8,3,5.504336
6935,9,2,1.765159
2932,4,1,-0.294884
7461,13,2,1.529493
8091,13,3,3.768495
3102,8,1,-0.390567
4463,8,2,1.765159
7212,15,2,1.237597
3467,4,1,-0.274352
5681,11,1,-0.383131
6332,10,2,2.483064
5433,12,1,-0.597351
7981,11,3,4.5
10069,18,3,2.468854
6998,12,2,1.689306
1793,3,1,-0.175863
7581,10,2,1.718809
7000,14,3,2.200916
4509,7,1,-0.217072
2125,5,2,2.844452
6601,13,3,2.779091
1448,3,1,-0.142857
6999,10,2,1.417843
1850,3,1,-0.175863
6266,12,3,3.008748
7288,14,3,3.043305
5839,10,2,1.518587
1852,3,1,-0.142857
1527,1,1,0.0
5688,9,1,-0.407189
8466,17,2,0.970292
7695,13,2,1.173754
6815,12,3,4.871779
5135,7,2,1.690361
7349,15,3,3.079589
4501,8,2,1.962991
7477,11,3,4.20199
1854,4,1,-0.252646
6618,15,4,4.325764
3218,7,2,2.483064
1723,3,1,-0.142857
944,3,1,-0.274352
6236,10,2,1.885618
1484,3,1,-0.142857
6349,12,3,3.362866
8435,16,3,1.523019
5445,5,1,-0.175863
8519,14,3,2.913037
1626,5,2,2.591989
7463,11,3,4.242641
8815,13,3,3.896752
7539,13,3,2.995394
5621,5,2,5.686241
8107,19,4,2.354627
6427,10,2,2.137744
3036,3,1,-0.100504
1585,2,1,-0.142857
7002,14,3,2.995394
8033,17,3,2.251225
5527,16,3,2.500216
1149,2,1,-0.100504
1855,2,1,0.0
7464,12,1,-0.563235
8182,13,2,0.973329
2522,2,1,0.0
6551,11,3,4.066514
8068,13,2,0.989467
1512,2,1,-0.100504
7101,11,3,4.20199
4447,9,3,3.091098
8734,16,3,2.749913
7805,14,2,1.605663
7015,8,1,-0.314485
7421,15,3,2.94711
4946,13,3,2.232458
7254,12,3,3.448394
7122,15,3,3.010785
6940,14,3,3.188596
5323,8,2,2.223472
2259,2,1,-0.100504
7696,13,2,1.218544
6858,11,3,4.559354
7008,9,2,3.179797
8197,16,3,2.994674
5865,11,3,4.445641
6904,13,3,2.560001
7257,14,3,3.316171
6163,8,1,-0.369274
6064,11,2,2.067904
6406,12,2,1.407711
2645,4,1,-0.142857
2795,4,1,-0.175863
1710,7,2,2.076881
5655,13,3,2.796431
4178,7,1,-0.407189
8171,14,3,2.650624
7647,12,3,3.766127
2217,2,1,-0.100504
2629,7,2,3.179797
6109,9,3,3.837613
809,0,0,0.0
5321,11,2,1.652574
7544,12,2,0.695095
7671,13,2,1.318418
5569,11,2,1.135815
1555,2,1,0.0
7483,14,3,3.574756
4632,10,2,2.002981
2833,5,2,3.972508
7425,8,1,-0.373632
4695,8,1,-0.320358
5495,11,2,1.885618
2338,7,2,3.391165
6882,11,3,4.110453
6138,12,2,0.897166
4966,8,2,2.306227
6413,13,2,1.173754
7371,7,2,2.708013
3707,6,1,-0.333333
2548,2,1,0.0
1960,2,1,-0.100504
6256,9,1,-0.399475
5341,11,3,3.383578
1291,4,1,-0.229416
3789,6,1,-0.142857
8576,13,3,3.574756
5913,8,2,2.496151
5648,11,2,1.518587
4863,8,1,-0.3386
4563,10,3,4.024922
8368,14,3,3.241247
6550,10,3,3.814918
6606,9,1,-0.438599
8694,11,3,4.151579
7288,11,2,1.243702
7144,10,1,-0.274352
7330,13,3,2.391857
1780,4,1,-0.175863
2268,2,1,-0.100504
3180,6,1,-0.314485
6933,10,2,2.708013
8139,12,3,2.860317
2875,4,1,-0.142857
6399,10,2,1.450105
3939,5,1,-0.175863
6856,14,3,2.769694
8022,12,3,2.479705
5087,8,1,-0.356332
6112,10,2,2.147318
3598,9,2,1.620785
7194,12,2,2.011435
7502,12,1,-0.455621
3528,5,1,-0.175863
2524,6,3,5.728716
4577,11,3,3.131935
6049,8,3,6.67408
2768,3,1,-0.175863
4933,9,1,-0.439679
3498,4,2,3.656552
6181,7,1,-0.260798
6826,11,2,1.472947
2738,4,1,-0.217072
4763,7,2,3.179797
3726,10,3,4.024922
3939,8,1,-0.420084
4705,9,1,-0.366508
6891,10,3,4.559354
8286,17,3,1.689564
3496,5,1,-0.142857
5961,10,3,4.20199
9682,14,3,3.668997
7182,14,3,2.741412
7651,12,2,1.646464
7309,13,2,1.426704
8342,14,2,1.407711
6551,13,3,2.779091
8151,13,3,3.463415
3290,5,2,2.844452
1416,3,1,-0.229416
6990,10,2,1.893204
5934,6,1,-0.204124
3874,11,1,-0.410817
6649,11,3,2.919995
1984,3,1,-0.165521
6714,9,2,2.223472
4530,8,2,1.444444
5267,10,2,2.586949
3462,5,1,-0.252646
3796,6,1,-0.294884
6785,13,2,1.751377
7035,12,3,3.490778
7306,11,2,2.213211
6398,13,3,3.65379
5185,5,1,-0.229416
3783,8,2,2.844452
9341,14,3,3.41189
2909,5,2,2.291288
7929,14,3,2.733967
5765,10,3,3.383578
1382,1,1,0.0
6221,13,3,2.80938
6460,9,2,2.844452
9658,19,3,1.785807
5824,10,2,1.885618
1354,1,1,0.0
3836,6,1,-0.257775
5335,9,3,4.066514
7579,11,3,4.613805
4685,8,1,-0.369274
5771,14,2,0.895558
6411,13,3,2.391169
7288,14,2,1.263701
4522,5,2,4.358899
4086,7,1,-0.204124
2014,4,1,-0.294884
6472,12,2,1.581339
6599,11,2,1.581339
4389,10,2,1.06326
5234,9,1,-0.468521
4079,7,1,-0.261488
7524,10,2,1.620785
8035,13,2,1.013109
4433,5,1,-0.274352
5916,11,3,3.986851
6073,8,2,3.007114
5291,5,1,-0.252646
7605,10,3,2.919995
3338,3,1,-0.142857
9357,15,3,2.210572
4507,10,3,3.668997
5121,5,1,-0.175863
7455,15,3,3.043305
3776,8,3,4.300232
5140,11,3,3.072189
6116,10,3,3.698714
8641,12,2,2.478479
4704,4,1,-0.142857
5519,10,3,4.34039
6262,11,3,4.871779
4412,7,1,-0.252646
6949,11,2,1.734393
5120,8,1,-0.314485
6769,11,1,-0.471405
5373,8,1,-0.468521
7994,14,4,4.064092
5408,9,1,-0.436436
4431,8,2,3.0
7360,8,2,2.29517
4760,7,1,-0.217072
5468,9,2,2.024791
6361,6,1,-0.274352
5829,11,3,3.156821
6970,11,2,2.0
5545,9,3,5.728716
5965,9,1,-0.439679
3350,4,1,-0.175863
4575,7,1,-0.229416
1601,4,2,3.958114
5081,8,2,1.950378
5925,12,2,1.049387
4349,6,1,-0.369274
4115,8,1,-0.296217
3983,8,2,2.384681
3447,5,1,-0.332243
6103,11,2,1.296357
7238,13,3,2.40768
2889,5,1,-0.229416
3714,7,1,-0.229416
6444,11,2,2.134375
6529,10,1,-0.420084
5016,9,3,5.7853
6045,8,2,2.384681
8021,15,1,-0.550743
2046,4,1,-0.239957
7461,11,4,7.22761
7121,15,2,0.715237
6001,9,2,2.223472
4218,6,1,-0.252646
8521,16,3,2.487033
3800,5,1,-0.204124
8013,14,2,1.368494
3086,7,2,2.09108
4948,11,2,1.439699
7625,9,3,3.913571
7978,12,2,1.246562
2869,3,1,-0.142857
4105,7,3,7.077214
7544,13,3,3.333847
5664,7,2,2.586949
2302,4,1,-0.229416
6146,9,2,1.221597
7360,13,2,1.529493
6998,13,2,1.718809
7397,10,1,-0.423547
7479,15,3,2.468854
1234,3,1,-0.175863
3536,2,1,0.0
5282,6,1,-0.204124
6699,14,4,4.257062
6519,12,3,3.415507
3485,10,3,4.242641
6089,12,2,1.296357
2620,6,2,3.0
3348,7,3,3.800485
8228,13,2,1.535019
1754,5,1,-0.314485
9479,22,3,1.254179
6318,10,2,2.002981
3995,9,2,1.839484
6449,14,3,3.188596
6642,13,4,4.275023
6057,11,2,1.529493
4230,8,2,2.380476
4660,8,2,1.264911
6517,10,1,-0.426401
1460,4,1,-0.175863
4671,10,3,3.668997
7992,14,2,1.051585
7645,16,3,2.598327
7053,10,2,2.29517
7202,12,3,4.024922
6791,12,3,3.517632
4793,6,2,3.0
3255,7,1,-0.369274
2056,3,1,-0.252646
7949,14,4,5.28034
4985,9,2,1.905159
6135,12,3,2.249821
4726,9,1,-0.37909
6783,9,2,3.0
2369,4,1,-0.252646
7335,11,2,1.585152
5920,11,3,4.559354
1265,1,1,0.0
3633,9,3,4.737271
7194,14,2,1.182373
6070,10,2,2.586949
6707,14,3,2.981048
6980,10,2,1.905159
5410,11,1,-0.564152
6353,7,1,-0.294884
5072,9,1,-0.420084
7096,12,2,1.2465
7223,12,2,1.11442
6582,11,1,-0.453267
7382,10,3,5.7853
4469,8,2,2.844452
6340,11,2,1.188761
7123,16,3,2.599777
8417,15,3,3.043305
6746,10,2,1.4
7785,15,2,1.15288
9178,16,3,2.921187
7301,13,2,1.535019
6491,8,2,2.844452
6047,8,1,-0.369274
4056,8,2,1.782084
4275,7,3,5.560455
6941,12,3,3.912077
8086,13,4,3.106915
8079,13,4,5.068299
5809,9,3,4.36384
5943,13,3,2.117871
6803,14,3,3.986851
7603,13,3,2.794783
5694,8,1,-0.420084
8063,10,2,2.384681
6176,14,2,1.019645
6130,14,2,1.031402
7761,12,3,3.712925
3451,4,1,-0.229416
8109,12,3,4.205949
7012,12,3,2.914524
2615,3,1,-0.100504
5475,10,2,1.741001
2239,4,1,-0.204124
1951,3,1,-0.100504
4130,8,3,3.944799
5995,10,2,2.586949
7594,14,3,2.509609
4572,11,2,1.221914
8657,18,3,2.132026
7769,9,1,-0.274352
6803,10,2,1.832261
2777,2,1,0.0
8459,15,3,2.97966
1607,6,1,-0.356332
1490,9,2,1.011647
8085,17,3,2.192188
1374,1,1,0.0
7790,13,3,3.286456
2602,3,1,0.0
8846,14,3,2.97551
2016,3,1,-0.142857
6235,6,2,3.958114
6666,10,1,-0.373632
1838,5,2,5.686241
6522,13,3,2.072827
8723,13,2,1.269622
7644,12,2,1.611559
7001,14,2,1.212256
9217,17,3,2.428107
7147,14,3,2.454545
6529,11,2,1.507557
4675,10,2,1.662145
7572,10,1,-0.386556
5277,10,1,-0.423547
6653,11,2,1.611559
9536,22,4,2.979633
5104,7,1,-0.333333
5512,7,2,3.400801
7494,11,3,3.338711
2109,2,1,-0.175863
6569,11,3,3.311924
4996,8,2,2.384681
4281,9,2,2.844452
7878,13,2,1.299867
7432,12,2,1.386771
2680,5,1,-0.204124
5868,15,3,3.188596
6412,11,2,1.087939
1379,3,1,-0.175863
7269,7,1,-0.239957
4605,8,2,2.29517
9209,17,3,2.226457
2218,1,1,0.0
6756,8,1,-0.431484
8091,12,3,3.609368
9091,19,3,1.979543
7462,13,2,0.786939
5448,7,1,-0.3386
1343,3,1,-0.175863
1743,2,1,0.0
9295,20,3,1.671947
4445,10,3,4.445641
7769,11,2,2.067904
6809,11,2,1.741001
5983,10,3,3.726941
3996,6,1,-0.261488
6368,11,2,1.170328
7504,12,4,5.870108
5480,9,2,2.478479
6131,12,3,2.763815
8138,13,3,4.066514
7081,11,2,1.532032
3408,3,1,-0.142857
9037,17,3,2.828427
6329,15,2,0.874237
7572,13,3,2.981048
6328,8,1,-0.27735
7013,10,2,2.064742
8065,12,2,1.832261
6624,8,1,-0.294884
3959,6,1,-0.238919
7095,9,1,-0.369274
5387,8,2,1.674827
3308,6,2,3.644957
2273,6,1,-0.333333
3290,5,1,-0.204124
5052,9,2,1.147079
1624,3,1,-0.204124
8533,12,2,1.507557
7229,10,3,4.445641
4522,7,1,-0.439679
7822,12,3,4.682677
1853,5,1,-0.229416
3345,6,2,2.708013
6480,14,3,2.598327
7079,11,2,1.555032
7315,13,3,3.912077
3730,8,1,-0.252646
7726,13,2,1.130324
8047,13,3,3.286456
2993,4,1,-0.100504
7179,12,3,3.286456
7352,13,2,1.318418
5780,7,1,-0.333333
4593,7,1,-0.349563
7974,12,1,-0.51558
3146,5,2,3.0
7210,12,3,3.048554
1308,2,1,-0.142857
7863,13,2,1.207211
3073,3,1,-0.175863
7163,14,3,3.732031
3867,7,1,-0.314485
8044,11,3,3.814918
6025,12,3,3.043305
6648,11,2,1.428359
7301,8,1,-0.351562
5069,7,1,-0.369274
5935,12,2,1.493827
1270,2,1,-0.142857
9060,16,3,2.244339
3714,9,3,4.559354
5173,8,1,-0.314485
7850,13,3,2.828632
8201,10,2,2.067904
7502,14,3,3.263767
5067,6,1,-0.351562
8122,14,3,2.508061
4528,8,2,2.844452
7297,11,2,1.13713
5174,9,2,1.942385
4243,6,1,-0.217072
2907,5,1,-0.294884
5859,6,1,-0.252646
7244,13,3,3.775478
4130,8,2,2.29517
8177,17,3,3.085854
7742,15,2,1.102646
6307,12,2,1.885618
7614,15,2,1.163678
3848,6,2,2.844452
8072,11,3,4.520269
7397,10,3,4.5
4464,8,1,-0.274352
7625,14,4,5.683718
1997,2,1,-0.142857
8147,13,3,3.798773
8809,13,2,1.605663
7599,16,3,3.077266
2012,2,1,0.0
5584,9,2,2.591989
8292,10,1,-0.502603
4757,7,2,3.391165
8578,12,2,1.632993
6408,10,1,-0.399475
9476,18,3,1.644882
6163,13,3,2.552342
7423,14,3,2.0
4730,9,2,2.209605
8586,15,3,2.499814
7598,10,2,1.164663
7438,12,1,-0.539331
6940,11,2,2.209605
5156,8,1,-0.351562
6495,11,2,1.462758
5346,15,3,2.110422
1347,1,1,0.0
7649,9,3,4.81699
6800,10,3,5.7853
5622,10,3,4.613805
7183,11,3,3.435823
7940,14,2,1.431789
5518,8,1,-0.407189
1582,1,1,0.0
5876,6,1,-0.229416
6784,12,3,2.275551
7525,16,3,1.665552
1699,1,1,0.0
6416,15,4,5.318021
4158,9,2,1.543644
3065,3,1,-0.100504
5845,7,1,-0.204124
5785,14,3,2.34906
803,1,1,0.0
1779,1,1,0.0
6390,10,2,1.271715
2327,4,2,2.496151
3177,5,1,-0.314485
3943,3,1,-0.100504
6875,16,3,3.106915
1666,4,1,-0.175863
3172,4,1,-0.175863
1245,3,1,-0.175863
7632,12,2,0.835242
6642,12,1,-0.470616
4037,7,1,-0.261488
6877,12,3,3.156821
2920,7,2,2.213211
2963,5,1,-0.204124
2317,4,1,-0.175863
7496,11,2,2.064742
5991,8,2,2.844452
6051,9,2,2.483064
8181,11,2,1.543644
3709,6,2,2.713602
2809,5,1,-0.252646
9809,20,4,3.58608
5345,8,1,-0.274352
6699,11,3,5.181036
5963,10,2,1.662145
5220,8,2,3.179797
6903,12,2,1.652574
7986,13,3,3.229168
7057,11,2,1.781955
8593,20,3,1.913378
6992,14,3,3.079589
7650,15,3,2.796431
3256,7,2,3.644957
6759,14,3,1.542962
7593,9,2,1.839484
7776,13,3,3.635026
8687,16,3,2.142857
7043,12,2,1.047501
6953,12,3,4.151579
1689,2,1,-0.100504
4104,4,1,-0.175863
2411,6,2,3.958114
5350,9,2,2.384681
3784,9,2,1.839484
7010,10,2,3.0
6768,11,2,1.620785
1202,2,1,-0.142857
7127,11,2,1.652574
5635,9,1,-0.407189
7827,15,3,2.57565
8766,17,3,2.796431
8222,12,2,1.535019
6874,12,2,1.347151
6414,10,3,3.286456
8252,14,3,3.008748
6664,10,2,2.209605
7925,13,2,1.450105
4566,7,1,-0.377964
5148,8,3,4.080798
7609,15,3,2.691194
2043,4,1,-0.229416
7969,13,3,3.198078
5975,15,3,2.743977
7423,10,2,1.662145
7304,10,1,-0.436436
8608,10,3,5.360431
7682,14,3,3.712925
9208,18,3,2.770523
7577,14,3,3.357821
1284,3,1,-0.175863
6588,11,2,1.885618
8355,14,3,2.035282
6261,7,1,-0.349563
5522,10,2,1.417843
7885,13,2,1.572427
