,Cholesterol,Glucose,HbA1c,HDL Cholesterol,LDL Cholesterol,Triglycerides,Vitamin D,Eosinophil Count,High Light Scatter Retic. Count,Lymphocyte Count,Mean Corpuscular Hemoglobin,Mean Platelet Volume,Monocyte Count,Platelet Count,Red Blood Cell Dist. Width,Red Blood Cell Count,White Blood Count,Bone Mineral Density,Balding Type 1,BMI,Height,Waist-Hip Ratio,Diastolic blood pressure,Systolic Blood Pressure,Edu College,Smoking Status,Autoimmune disease,Allergy Eczema Diagnosed,Asthma Diagnosed,Cardiovascular disease,Dermatology,Diabetes Any Diagnosed,Endocrine Diabetes,High cholesterol,Hypertension Diagnosed,Psoriasis,Respiratory Ent,Type 2 diabetes,Thyroid Any Self Rep,FEV1\FVC Ratio,Forced Vital Capacity,Neuroticism,Chronotype (morning person),Hair Color,Tanning,Childless,Age of Menarche,#Children,Hypothyroidism Self Rep
Hypertension Diagnosed,0.5346609446518772,0.2635186700226615,0.4618839913096213,0.6932571001144491,0.447039038940807,0.7570374856369126,0.4626989785569433,0.5610989328148738,0.6594461291610652,0.5958041784782837,0.4419790242615005,0.6021823941946599,0.5046661255930298,0.5450121835178168,0.5048712686242798,0.5823421858121515,0.5722267714965125,0.5507667262268096,0.22720341788213916,0.2593369106983512,0.4964045284420544,0.5875172456346377,0.372956872143252,0.6799078240171831,0.26743581623695234,0.5687877594503382,0.5322856045834965,0.5880027662924039,0.6754654182066557,0.6260720592406621,0.4831699862817236,0.310101298221345,0.607436426115108,0.4408289511760002,1.0,0.5802647616051446,0.3741872636653072,0.4085069395937948,0.36228900581137136,0.18560227826782416,0.5731997792500108,0.41742378046367545,0.41691637346799104,0.279592228768599,0.5892722235167465,0.3886743519305855,0.6386945452440521,0.48395176148117836,0.14488978152310883
Psoriasis,0.1615302908485856,0.2955961946892761,0.6157581050352421,0.37034675665533834,0.1941480353422299,0.40443641674515196,0.5387841233602585,0.6327684601270699,0.49484236038025387,0.23810403903209876,0.35864391972122556,0.4038308177778479,0.35314270696411576,0.2904188045468965,0.1570107784969017,0.2043286370219327,0.4337267929784807,0.17394908520545171,0.3013606695956943,0.38217960930851724,0.39932141869758375,0.2954106944916459,0.3483702138900072,0.4204705446142032,0.479897406092476,0.4234908378161082,0.3079919230141328,0.35238169998595315,0.2202483611162004,0.4620497166504717,0.4734257902104906,0.12678280491481808,0.47545229335156103,0.1934000048332768,0.5802647616051446,1.0,0.23262393296794293,0.14917577169525087,0.3669251852555153,0.3703899309796247,0.4402544524987493,0.20584259384873016,0.417271474630306,0.4534487844530126,0.2134022607061249,0.19992663767272134,0.33287624873234933,0.06712587157568739,0.3637598117484906
Respiratory Ent,0.4825606612117528,0.2745048057929691,0.3988650079698147,0.4298514922318468,0.2924006978218525,0.489271089618014,0.2535466097659047,0.6199498194407245,0.21742994237527324,0.5821203871679634,0.723304729491071,0.44100434496410645,0.40402640992185135,0.751405280672704,0.2937262678284315,0.46811134912889396,0.30979099700333246,0.5647135799700864,0.5389749285868067,0.3101371604588332,0.4631325635701058,0.26253248289159425,0.29401726508457315,0.30756160275649824,0.5184687774568789,0.5283046824523426,0.5428598379577183,0.6611450889245829,0.6696090066301574,0.14752426104571414,0.4799049969447571,0.08293196927756585,0.17397179272050867,0.21600023412386082,0.3741872636653072,0.23262393296794293,1.0,0.29400089470691415,0.396335583080504,0.37398748086184075,0.21474040284678353,0.5540576650717289,0.20708741633073735,0.3625951879774423,0.45314572444459544,0.5524908796605407,0.5862142577641508,0.6843734384743307,0.23424809835888483
Type 2 diabetes,0.4328989206560757,0.520217348556628,0.20370022130642584,0.5613535465858953,0.43175334149643163,0.5916876120389408,0.4304519498200634,0.2847087492534498,0.5361911242288732,0.290965989835158,0.17162034603307075,0.5514208422666634,0.3342694193355251,0.31353419028770735,0.5271533491021791,0.6621894866729142,0.407672394005005,0.40539069247456294,0.2778707085714269,0.5377602403152245,0.40563048483016895,0.501747881289225,0.3440886279670703,0.6323752488487324,0.5657253218617178,0.2391330145283097,0.6390654892814273,0.26446173581557275,0.3623312703079351,0.48083553144596114,0.2878034111260419,0.7122942911972135,0.4834599081729669,0.6354460881826955,0.4085069395937948,0.14917577169525087,0.29400089470691415,1.0,0.5223232598150946,0.4350267793080873,0.4811488757855893,0.32220224774466644,0.34203113523453155,0.24818636850754672,0.4359183093243595,0.15443540335426775,0.5202741272652799,0.47921100458742805,0.46439295499790245
Thyroid Any Self Rep,0.28580479981261053,0.3187265739439411,0.03554604315577259,0.19322289947113336,0.2338969422986188,0.5019862106836067,0.469186954556694,0.44014328478523645,0.6696238362802686,0.23060544138150818,0.2717781782781853,0.572205941360144,0.3695488012695236,0.4648798649653665,0.32165514027040687,0.46725165438516525,0.3207627429130089,0.3608639782822456,0.4394565506789946,0.4645575840031968,0.5579457031050241,0.49232546037975955,0.3716494828701524,0.5162753508244176,0.5932782893938424,0.2928569168993913,0.6903310072849701,0.30900402564135143,0.35167475906417367,0.35956476814047966,0.20648555112071532,0.4119776333394738,0.3124767605392389,0.18370225839054455,0.36228900581137136,0.3669251852555153,0.396335583080504,0.5223232598150946,1.0,0.5933458384046605,0.4395261512092624,0.33825081182826766,0.3385550836912561,0.45447768407859646,0.3293961721922176,0.4170413554302619,0.39022161689306567,0.5236974467792248,0.8098864630210697
FEV1\FVC Ratio,0.2770392309872376,0.6014169530328163,0.019108113701093443,0.21323149791909746,0.3642150635243101,0.23667435550501703,0.5683187984138112,0.3572385209294515,0.4374483622425335,0.26539348205694346,0.172879396214755,0.3616012615732125,0.23158853069323482,0.371399024147235,0.29924731854054,0.34073697627927857,0.503110166417836,0.16747028647106021,0.5194672981095141,0.5849091450036868,0.4509490817441346,0.4635876183559309,0.5376964407802082,0.48013136823506963,0.6510543525427792,0.4088775887604523,0.39544376369654044,0.3492840670061652,0.23927363614836505,0.3030169884178937,0.3285564419214575,0.26033279343267424,0.6052632482749511,0.38503181196720493,0.18560227826782416,0.3703899309796247,0.37398748086184075,0.4350267793080873,0.5933458384046605,1.0,0.5104233183545277,0.4379505121603011,0.4994195566305478,0.6638760392004236,0.391964155405214,0.3238195527582789,0.40416283070911396,0.24128864394942584,0.6590650063974298
Forced Vital Capacity,0.33779826652247946,0.5194739300753564,0.20069913367526537,0.3135760160752229,0.3104511322116794,0.3820263341822543,0.8053810796691058,0.4578947072982975,0.5283595020594316,0.3702774195582077,0.2312590662201769,0.5809536784883006,0.5930967074522917,0.41417504332232014,0.21391343780202732,0.34015312268922226,0.6049559467880101,0.3087742049126668,0.42779525037306354,0.610710996973089,0.4059216104570822,0.3816936508090848,0.6462125108052756,0.6459253250993571,0.4872173253266896,0.21430689024847216,0.380056687764736,0.40453823211707995,0.2528263224012657,0.8687204443235003,0.3933507388267834,0.37611826240108326,0.8247437762860877,0.2707453666734483,0.5731997792500108,0.4402544524987493,0.21474040284678353,0.4811488757855893,0.4395261512092624,0.5104233183545277,1.0,0.3615105624437549,0.7773858518405257,0.758255600110252,0.3132362957058077,0.1398145328124939,0.3451659361511622,0.2986882183410703,0.4533759358147187
Neuroticism,0.5015166034905241,0.33585131227840614,0.2084166714268797,0.31849476975114066,0.5881130197034834,0.4055824651630636,0.3262821832997965,0.19912838966047963,0.22930802228037428,0.512953464019451,0.27102152569977567,0.18592891496052855,0.16738745962364254,0.6199381681029327,0.2908169791980637,0.3789534223729467,0.3707271951780955,0.2994117626119456,0.6545624998603697,0.40486013189810377,0.27045213517759603,0.4070902465273981,0.5395642561647996,0.25789120116791187,0.38248620642346043,0.6585645367740882,0.4253676028232316,0.566294498948506,0.5566876102925452,0.15569545105221216,0.49717269660734287,0.18950551420923667,0.4084901746663223,0.460217906594089,0.41742378046367545,0.20584259384873016,0.5540576650717289,0.32220224774466644,0.33825081182826766,0.4379505121603011,0.3615105624437549,1.0,0.4526213673898606,0.36804918401042397,0.5950420289150706,0.2571553364896878,0.4567343085968789,0.437945488985501,0.4108541285051739
Chronotype (morning person),0.27238023224104824,0.5555663892726633,0.23274854661359845,0.207471166560655,0.39624907833220746,0.19623916685305498,0.773384090402663,0.5125507334027994,0.3695594119054737,0.1998406796706501,0.0837917956404074,0.5841191506969915,0.5072174341558476,0.3618683706913479,0.18135093589795392,0.22202496115352965,0.6524737403237257,0.17727307695527939,0.5049577449714362,0.5831544464165328,0.13290778965938477,0.19089948922375433,0.5373752742636628,0.5194484385926118,0.4341599094009435,0.1883865503476415,0.284545835923942,0.3665339902148377,0.13920027920215927,0.5981471972926294,0.5971706356665324,0.03939383260535623,0.8648483850688402,0.19317860639724405,0.41691637346799104,0.417271474630306,0.20708741633073735,0.34203113523453155,0.3385550836912561,0.4994195566305478,0.7773858518405257,0.4526213673898606,1.0,0.7914119340458488,0.29643549406393155,9.371900938304201e-05,0.13858249724597616,0.19808050153863455,0.4190346531357496
Hair Color,0.07424741974404936,0.5479530130166793,0.25634931556218477,0.041300724794518295,0.14624756465973798,0.06579990807723768,0.858546524181061,0.5866988178879966,0.2617346707825132,0.09094597156672268,0.09016566796170555,0.5004430716088764,0.37190121246145624,0.37551825154329876,0.004277815794832662,0.1343501237269069,0.5407371112607062,0.06716856997950138,0.5765999867976972,0.6836526397834916,0.17719911888542206,0.08527321863865933,0.560823405620582,0.46234868312197097,0.568614530268174,0.07149816930648656,0.2053230988311211,0.24343454172591383,0.04385417243742662,0.49566865108747793,0.39500152494425156,0.035784532922654155,0.6998400424919146,0.09726343630258727,0.279592228768599,0.4534487844530126,0.3625951879774423,0.24818636850754672,0.45447768407859646,0.6638760392004236,0.758255600110252,0.36804918401042397,0.7914119340458488,1.0,0.08411101840026802,0.04696408487072101,0.06116663661897248,0.17283619392663363,0.5680245134183531
